Region,Latitude,Longitude
Boyle Heights,34.0331656,-118.2048648
Bellflower,33.8825705,-118.1167679
West Adams,34.0294356,-118.3524833
Angeles,34.0433111,-118.2529147
Palmdale,34.5793131,-118.1171108
Torrance,33.8358492,-118.3406288
West Hills,34.2032325,-118.645476
Lakewood,33.8503463,-118.1171914
Leimert Park,34.007702,-118.3320627
Beverly Hills,34.0696501,-118.3963062
Stevenson Ranch,34.3864721,-118.5826635
Studio City,34.1483989,-118.3961877
San Gabriel,34.0991325,-118.1086041
Melrose,34.0536909,-118.2427666
Palisades,34.0480643,-118.5264706
Lancaster,34.6981064,-118.1366153
Koreatown,34.0580134,-118.3008095
Pico Rivera,33.9830688,-118.096735
Gardena,33.8963593,-118.3053037
Claremont,34.0966764,-117.7197785
Tarzana,34.1714436,-118.5429789
South Park,34.0404069,-118.2665377
Eagle Rock,34.1388968,-118.2139624
Granada Hills,34.2661558,-118.5174342
